emp_no,first_name,last_name,to_date,hire_date,from_date,title,present_date,days_of_service
12259,Juichirou,Hofting,9999-01-01,1998-05-26,1998-05-26,Staff,2021-06-09,8415
12282,Tadahiro,Delgrange,9999-01-01,1997-01-09,1999-10-06,Engineer,2021-06-09,8917
12299,Billie,Kushner,9999-01-01,1999-01-24,1999-01-24,Engineer,2021-06-09,8172
12317,Weiyi,Crabtree,9999-01-01,1996-08-11,2001-01-21,Staff,2021-06-09,9068
12321,Heekeun,Schicker,9999-01-01,1996-07-13,1999-04-03,Staff,2021-06-09,9097
12322,Mohammed,Kambil,9999-01-01,1996-05-20,1996-11-06,Senior Engineer,2021-06-09,9151
12323,Arra,Zweizig,9999-01-01,1996-10-24,1996-10-24,Staff,2021-06-09,8994
12339,Pranay,Czaja,9999-01-01,1996-07-18,1996-07-18,Staff,2021-06-09,9092
12364,Neelam,Cummings,9999-01-01,1998-06-02,1998-11-02,Assistant Engineer,2021-06-09,8408
12389,Percy,Casperson,9999-01-01,1999-10-08,1999-11-02,Staff,2021-06-09,7915
12390,Kwangsub,Kilgour,9999-01-01,1996-12-29,1997-07-09,Staff,2021-06-09,8928
12426,Shahaf,Valtorta,9999-01-01,1996-05-31,1999-05-17,Technique Leader,2021-06-09,9140
12452,Hiroyasu,Francisci,9999-01-01,1997-08-01,1997-09-28,Engineer,2021-06-09,8713
12455,Goncalo,Waeselynck,9999-01-01,1997-04-06,1997-04-06,Engineer,2021-06-09,8830
12474,Remco,Maquelin,9999-01-01,1998-11-27,1998-11-27,Assistant Engineer,2021-06-09,8230
12495,Mooi,Erni,9999-01-01,1999-10-01,1999-12-13,Staff,2021-06-09,7922
12500,Jackson,Luke,9999-01-01,1997-05-11,1997-05-11,Engineer,2021-06-09,8795
12524,Tetsushi,Demeyer,9999-01-01,1996-03-06,1996-12-19,Engineer,2021-06-09,9226
12549,Krister,Onuegbe,9999-01-01,1996-06-13,1998-09-15,Staff,2021-06-09,9127
12550,Shawna,Marzano,9999-01-01,1999-01-04,1999-05-14,Senior Engineer,2021-06-09,8192
12562,Sven,Luby,9999-01-01,1997-06-24,1997-06-24,Staff,2021-06-09,8751
12571,Abdelaziz,Candan,9999-01-01,1996-04-29,1997-04-23,Engineer,2021-06-09,9172
12577,Takushi,Schrift,9999-01-01,1996-05-26,2000-10-13,Engineer,2021-06-09,9145
12588,Yagil,Kenevan,9999-01-01,1997-02-08,1997-02-08,Senior Engineer,2021-06-09,8887
12598,Hatem,Farrow,9999-01-01,1996-10-28,1998-06-27,Staff,2021-06-09,8990
12643,Morrie,Schurmann,9999-01-01,1998-07-23,1998-12-31,Staff,2021-06-09,8357
12659,Abdulla,Fontan,9999-01-01,1996-05-26,1997-03-23,Staff,2021-06-09,9145
12666,Stamatina,Prenel,9999-01-01,1998-04-19,1998-04-19,Engineer,2021-06-09,8452
12670,Seongbae,Alameldin,9999-01-01,1998-01-18,1999-09-10,Engineer,2021-06-09,8543
12672,Mayumi,Varman,9999-01-01,1997-06-07,1998-04-02,Senior Engineer,2021-06-09,8768
12676,Kien,Mellouli,9999-01-01,1996-09-24,1998-04-28,Engineer,2021-06-09,9024
12687,Weicheng,Badache,9999-01-01,1996-05-24,1998-04-12,Staff,2021-06-09,9147
12712,Alagu,Chiodo,9999-01-01,1998-05-11,2001-11-03,Engineer,2021-06-09,8430
12719,Tomokazu,Riexinger,9999-01-01,1996-11-05,1996-11-05,Engineer,2021-06-09,8982
12740,Khalid,Ferretti,9999-01-01,1998-05-15,1998-05-15,Staff,2021-06-09,8426
12756,Mohit,Braccini,9999-01-01,1998-01-23,1998-08-12,Staff,2021-06-09,8538
12761,Hitofumi,Schaad,9999-01-01,1996-05-06,1996-05-06,Staff,2021-06-09,9165
12786,Weiyi,Schusler,9999-01-01,1998-10-21,1999-12-08,Engineer,2021-06-09,8267
12788,Kristina,Olano,9999-01-01,1998-11-03,1999-10-15,Assistant Engineer,2021-06-09,8254
12789,Sanjai,Felcyn,9999-01-01,1996-09-24,1996-09-24,Engineer,2021-06-09,9024
12837,Jiakeng,Berstel,9999-01-01,1997-03-21,1997-03-21,Staff,2021-06-09,8846
12878,Fox,Marsiglia,9999-01-01,1997-08-27,1997-08-27,Engineer,2021-06-09,8687
12889,Mayumi,Mukaidono,9999-01-01,1999-01-22,1999-04-28,Engineer,2021-06-09,8174
12921,Guther,Gunderson,9999-01-01,1997-05-31,1999-10-02,Staff,2021-06-09,8775
13008,Jayesh,Zaumen,9999-01-01,1996-03-06,2000-01-07,Engineer,2021-06-09,9226
13036,Idoia,Heystek,9999-01-01,1997-03-30,1998-04-23,Staff,2021-06-09,8837
13064,Kshitij,Haldar,9999-01-01,1997-01-21,1997-06-02,Assistant Engineer,2021-06-09,8905
13097,Xuedong,Munke,9999-01-01,1996-01-22,1996-01-22,Engineer,2021-06-09,9270
13111,Anwar,Krybus,9999-01-01,1996-09-28,1997-08-10,Engineer,2021-06-09,9020
13131,Takanari,Spelt,9999-01-01,1996-06-24,1996-06-24,Staff,2021-06-09,9116
13136,Gao,Avouris,9999-01-01,1997-05-30,1998-10-19,Engineer,2021-06-09,8776
13159,Jingling,Ranst,9999-01-01,1999-06-19,1999-08-12,Staff,2021-06-09,8026
13189,Yuuichi,Bazzichi,9999-01-01,1999-07-01,1999-10-16,Staff,2021-06-09,8014
13206,Tetsurou,Rullman,9999-01-01,1999-03-06,1999-09-06,Staff,2021-06-09,8131
13218,Junichi,Attimonelli,9999-01-01,1999-01-30,1999-03-30,Senior Engineer,2021-06-09,8166
13227,Goncalo,Pell,9999-01-01,1996-03-04,1997-02-03,Staff,2021-06-09,9228
13246,Adil,Siepmann,9999-01-01,1999-12-31,1999-12-31,Staff,2021-06-09,7831
13259,Cheong,Dredge,9999-01-01,1996-05-27,1996-05-27,Staff,2021-06-09,9144
13275,Genta,Homond,9999-01-01,1996-07-15,1998-05-10,Staff,2021-06-09,9095
13309,Toshimori,Lipner,9999-01-01,1997-08-22,1997-12-25,Senior Engineer,2021-06-09,8692
13357,Mabry,Llado,9999-01-01,1999-01-24,1999-01-24,Engineer,2021-06-09,8172
13361,Wilmer,Baek,9999-01-01,1996-05-03,1996-05-03,Staff,2021-06-09,9168
13374,Atreye,Kalefeld,9999-01-01,1997-08-13,1997-08-13,Senior Engineer,2021-06-09,8701
13378,Rafols,Zhiwei,9999-01-01,1996-09-26,1998-07-17,Technique Leader,2021-06-09,9022
13401,Przemyslawa,Pavlopoulou,9999-01-01,1997-10-28,1998-05-10,Engineer,2021-06-09,8625
13406,Muneo,Oberman,9999-01-01,1996-03-04,1996-03-04,Assistant Engineer,2021-06-09,9228
13412,Ranga,Erdmenger,9999-01-01,1996-03-21,1999-01-18,Staff,2021-06-09,9211
13416,Fox,Billawala,9999-01-01,1996-01-25,1996-04-11,Senior Engineer,2021-06-09,9267
13456,Uzi,Erol,9999-01-01,1996-06-18,1999-06-13,Senior Engineer,2021-06-09,9122
13469,Yonghoan,Undy,9999-01-01,1999-09-29,1999-12-03,Engineer,2021-06-09,7924
13551,Shuichi,Ducloy,9999-01-01,1998-09-13,1999-02-13,Staff,2021-06-09,8305
13573,Petter,Escriba,9999-01-01,1997-09-11,1998-09-26,Engineer,2021-06-09,8672
13585,Sugwoo,Bashian,9999-01-01,1997-06-08,1997-06-08,Assistant Engineer,2021-06-09,8767
13591,Jinxi,Poulakidas,9999-01-01,1999-06-24,1999-06-24,Assistant Engineer,2021-06-09,8021
13606,Tuval,Feldmann,9999-01-01,1996-11-04,1999-07-22,Staff,2021-06-09,8983
13617,Prodip,Fioravanti,9999-01-01,1997-01-07,1999-07-24,Engineer,2021-06-09,8919
13635,Mani,Lorys,9999-01-01,1997-09-14,1997-09-14,Engineer,2021-06-09,8669
13700,Mingdong,Weedon,9999-01-01,1997-04-24,1998-12-11,Staff,2021-06-09,8812
13736,Pranas,Albarhamtoshy,9999-01-01,1996-05-28,1999-04-03,Staff,2021-06-09,9143
13752,Kwangho,Otillio,9999-01-01,1996-06-08,1999-08-27,Senior Staff,2021-06-09,9132
13761,Fabrizio,Atrawala,9999-01-01,1997-08-09,1997-08-09,Senior Engineer,2021-06-09,8705
13777,Nidapan,Range,9999-01-01,1997-11-16,1997-11-16,Staff,2021-06-09,8606
13785,Shietung,Legleitner,9999-01-01,1997-06-04,1998-07-11,Staff,2021-06-09,8771
13800,Nikolaus,Gammage,9999-01-01,1996-02-08,1998-03-25,Technique Leader,2021-06-09,9253
13805,Barry,Veldwijk,9999-01-01,1999-04-13,1999-09-09,Staff,2021-06-09,8093
13819,Honglan,Percebois,9999-01-01,1999-03-03,1999-05-19,Engineer,2021-06-09,8134
13839,Waiman,Weedon,9999-01-01,1998-10-23,2000-01-21,Senior Engineer,2021-06-09,8265
13847,Dhritiman,Gulik,9999-01-01,1996-12-16,1998-06-02,Technique Leader,2021-06-09,8941
13852,Alassane,Silva,9999-01-01,1996-12-24,1996-12-24,Senior Engineer,2021-06-09,8933
13898,Oguz,Hiroyama,9999-01-01,1997-04-23,1997-04-23,Staff,2021-06-09,8813
13903,Sudhanshu,Pileggi,9999-01-01,1997-03-24,1997-03-24,Senior Engineer,2021-06-09,8843
13905,Otilia,Haddadi,9999-01-01,1998-06-28,1998-06-28,Engineer,2021-06-09,8382
13913,Xinan,Yoshizawa,9999-01-01,1996-09-12,1997-12-18,Technique Leader,2021-06-09,9036
13919,Brewster,Sinicrope,9999-01-01,1999-12-04,2001-08-05,Engineer,2021-06-09,7858
13932,Tommaso,Simmel,9999-01-01,1997-05-27,1997-10-08,Staff,2021-06-09,8779
13976,Bedir,Peac,9999-01-01,1997-02-15,1997-09-10,Engineer,2021-06-09,8880
14011,Katsuo,Peris,9999-01-01,1997-03-24,1999-12-10,Engineer,2021-06-09,8843
14025,Stevo,Takanami,9999-01-01,1998-01-30,2001-08-07,Staff,2021-06-09,8531
14029,Doohun,Luders,9999-01-01,1997-11-11,1997-11-11,Senior Staff,2021-06-09,8611
14038,Tokuyasu,Plesums,9999-01-01,1997-03-02,1997-03-02,Senior Engineer,2021-06-09,8865
14039,Ugo,Butterworth,9999-01-01,1997-05-29,1999-11-09,Assistant Engineer,2021-06-09,8777
14064,Jayesh,Ebeling,9999-01-01,1996-04-09,1998-05-07,Staff,2021-06-09,9192
14084,Deniz,Halloran,9999-01-01,1998-03-02,1999-10-25,Engineer,2021-06-09,8500
14099,Mack,Poujol,9999-01-01,1996-07-09,1998-07-24,Staff,2021-06-09,9101
14112,Younwoo,McDermid,9999-01-01,1996-10-05,1999-11-26,Staff,2021-06-09,9013
14130,Yuuichi,Stroustrup,9999-01-01,1997-02-17,1997-02-17,Staff,2021-06-09,8878
14140,Kiam,Ramamoorthy,9999-01-01,1998-03-21,1998-07-25,Senior Staff,2021-06-09,8481
14145,Mandell,Baranowski,9999-01-01,1997-07-01,2000-01-13,Engineer,2021-06-09,8744
14154,Susumu,Mapelli,9999-01-01,1996-11-14,1996-11-14,Senior Staff,2021-06-09,8973
14168,Jiann,Denis,9999-01-01,1996-01-12,1997-06-01,Technique Leader,2021-06-09,9280
14177,Gino,Stille,9999-01-01,1996-02-12,1996-03-16,Staff,2021-06-09,9249
14214,TRUE,Swen,9999-01-01,1998-12-19,1998-12-19,Assistant Engineer,2021-06-09,8208
14216,Vitali,Worfolk,9999-01-01,1998-03-11,1998-03-11,Engineer,2021-06-09,8491
14231,Serenella,Madeira,9999-01-01,1996-07-14,1999-03-12,Engineer,2021-06-09,9096
14245,Boalin,Byoun,9999-01-01,1996-04-08,1996-04-08,Senior Engineer,2021-06-09,9193
14259,Aleksandar,Kisuki,9999-01-01,1996-05-30,1996-05-30,Senior Engineer,2021-06-09,9141
14266,Bedir,Perry,9999-01-01,1997-10-27,1997-10-27,Technique Leader,2021-06-09,8626
14283,Rimli,Kowalchuk,9999-01-01,1996-08-31,1996-11-26,Staff,2021-06-09,9048
14308,Geoffrey,Zizka,9999-01-01,1998-02-03,1998-02-03,Assistant Engineer,2021-06-09,8527
14326,Iara,Speckmann,9999-01-01,1998-02-14,1999-08-11,Senior Engineer,2021-06-09,8516
14335,Mark,Fraisse,9999-01-01,1997-10-09,1999-11-06,Technique Leader,2021-06-09,8644
14336,Rafail,Passafiume,9999-01-01,1997-06-18,1999-07-18,Staff,2021-06-09,8757
14352,Sudhanshu,Braccini,9999-01-01,1996-10-06,1996-10-06,Senior Engineer,2021-06-09,9012
14357,Maria,Siegrist,9999-01-01,1996-02-18,1996-02-18,Staff,2021-06-09,9243
14368,Akemi,Conde,9999-01-01,1997-05-04,1997-05-04,Senior Engineer,2021-06-09,8802
14386,Willard,Foong,9999-01-01,1998-06-02,1998-06-02,Engineer,2021-06-09,8408
14420,Aiman,Panangaden,9999-01-01,1999-07-12,1999-07-12,Senior Engineer,2021-06-09,8003
14430,Rayond,Reinhart,9999-01-01,1996-06-08,1996-06-08,Senior Staff,2021-06-09,9132
14431,Minghong,Erman,9999-01-01,1996-03-27,1996-03-27,Senior Engineer,2021-06-09,9205
14440,Arnould,Hempstead,9999-01-01,1997-09-03,1997-09-03,Engineer,2021-06-09,8680
14445,Navin,Jiafu,9999-01-01,1996-10-21,1996-10-21,Staff,2021-06-09,8997
14452,Akeel,Wallrath,9999-01-01,1998-08-29,1999-04-18,Senior Staff,2021-06-09,8320
14470,Moheb,Merey,9999-01-01,1997-11-26,1997-11-26,Engineer,2021-06-09,8596
14484,Gift,Backhouse,9999-01-01,1996-06-10,1999-09-14,Engineer,2021-06-09,9130
14517,Kwangho,Hatcliff,9999-01-01,1997-04-07,1997-04-07,Senior Engineer,2021-06-09,8829
14526,Arne,Grabner,9999-01-01,1996-08-29,1997-06-20,Staff,2021-06-09,9050
14564,Tadahiro,Christ,9999-01-01,1998-12-04,1998-12-04,Staff,2021-06-09,8223
14584,Oldrich,Undy,9999-01-01,1997-06-07,1999-01-18,Engineer,2021-06-09,8768
14597,Aloke,Ritcey,9999-01-01,1997-07-13,1999-05-20,Senior Staff,2021-06-09,8732
14616,Kokou,Rouquie,9999-01-01,1996-03-25,1997-12-17,Engineer,2021-06-09,9207
14619,Debaprosad,Lukaszewicz,9999-01-01,1996-11-01,1997-05-10,Engineer,2021-06-09,8986
14625,Kitty,Szemeredi,9999-01-01,1997-03-06,1997-03-06,Engineer,2021-06-09,8861
14646,Jiafu,dAstous,9999-01-01,1997-04-11,1997-04-11,Senior Engineer,2021-06-09,8825
14657,Saddek,Casperson,9999-01-01,1998-01-26,1998-09-28,Staff,2021-06-09,8535
14658,Mohd,Morton,9999-01-01,1996-10-28,1999-09-18,Staff,2021-06-09,8990
14663,Xiaoqiang,Schueller,9999-01-01,1997-01-08,1997-01-08,Technique Leader,2021-06-09,8918
14681,Jaihie,Suermann,9999-01-01,1996-07-04,1999-12-22,Engineer,2021-06-09,9106
14696,Shuky,Binkley,9999-01-01,1997-02-28,1997-05-01,Assistant Engineer,2021-06-09,8867
