emp_no,first_name,last_name,birth_date,from_date,to_date,title
10721,Bernd,Redmiles,1964-07-12,1999-07-15,9999-01-01,Staff
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Staff
10752,Byong,Conde,1964-07-18,1993-05-28,9999-01-01,Senior Engineer
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Staff
10766,Nathalie,Standera,1964-06-10,1999-09-18,9999-01-01,Staff
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,Senior Staff
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Staff
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10886,Sushant,Begiun,1964-09-30,1995-03-26,9999-01-01,Senior Engineer
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
10937,Anyuan,Nanard,1964-09-11,1991-05-03,9999-01-01,Senior Engineer
10939,Matk,Akazan,1964-07-13,1997-12-11,9999-01-01,Assistant Engineer
10954,Ranga,Burnard,1964-11-16,1995-12-14,9999-01-01,Staff
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Staff
11122,Aleksandar,Randi,1964-08-12,1995-10-15,9999-01-01,Staff
11136,Gladys,Luiz,1964-06-01,1990-12-06,9999-01-01,Senior Engineer
11142,Moheb,Raney,1964-11-19,1993-11-04,9999-01-01,Senior Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Staff
11193,Val,Kumaresan,1964-08-13,1998-01-28,9999-01-01,Senior Staff
11200,Renny,Junet,1964-06-05,1995-04-08,9999-01-01,Technique Leader
11202,Marek,Ranon,1964-11-01,1996-02-26,9999-01-01,Staff
11209,Xuejun,Penn,1964-06-25,2000-02-08,9999-01-01,Engineer
11235,Larisa,Schueller,1964-11-13,1998-11-09,9999-01-01,Senior Engineer
11246,Maik,Reinhart,1964-11-16,1998-06-03,9999-01-01,Engineer
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Staff
11345,Youngkon,Maierhofer,1964-08-11,1998-11-25,9999-01-01,Engineer
11440,Lubomir,Jahnichen,1964-12-07,1994-03-03,9999-01-01,Engineer
11482,Uri,Deverell,1964-10-16,1991-04-03,9999-01-01,Staff
11511,Arlette,Mikschl,1964-06-02,1997-05-28,9999-01-01,Assistant Engineer
11544,Elzbieta,Thimonier,1964-09-05,1996-10-22,9999-01-01,Senior Staff
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Staff
11566,Martina,Quittner,1964-10-07,1995-01-09,9999-01-01,Engineer
11598,Sariel,Ertl,1964-06-07,1994-04-02,9999-01-01,Senior Engineer
11627,Zeljko,Schreiter,1964-09-24,1998-10-31,9999-01-01,Engineer
11635,Nalini,Mahnke,1964-07-13,1989-10-13,9999-01-01,Senior Engineer
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11704,Naftali,Baalen,1964-11-09,1999-04-04,9999-01-01,Engineer
11707,Tooru,Hettesheimer,1964-07-18,1994-04-07,9999-01-01,Senior Engineer
11745,Janche,Bahi,1964-07-03,1999-12-12,9999-01-01,Staff
11752,Bingning,Etalle,1964-11-11,1992-11-10,9999-01-01,Staff
11761,Bartek,Aamodt,1964-07-17,1991-06-12,9999-01-01,Staff
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Senior Engineer
11768,Krassimir,Erol,1964-06-09,1991-04-25,9999-01-01,Senior Engineer
11781,Tua,Pluym,1964-11-29,1997-12-04,9999-01-01,Staff
11794,Atreye,Ghandeharizadeh,1964-10-25,1992-09-04,9999-01-01,Senior Engineer
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Staff
11850,Bikash,Maginnis,1964-10-23,1991-02-10,9999-01-01,Staff
11898,Jinya,Piveteau,1964-10-29,1996-12-01,9999-01-01,Engineer
11912,Kristian,Giaccio,1964-08-15,1994-10-06,9999-01-01,Senior Engineer
11955,Domenico,Eastman,1964-10-17,1995-04-25,9999-01-01,Senior Engineer
11968,Mitchel,Dayang,1964-08-13,1995-08-08,9999-01-01,Senior Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12107,Manibrata,Antonisse,1964-10-15,1997-01-27,9999-01-01,Engineer
12124,Jingling,Schaaf,1964-08-01,1989-07-14,9999-01-01,Staff
12139,Guangming,Senzako,1964-10-31,1994-03-07,9999-01-01,Senior Engineer
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
12169,Arnd,Broomell,1964-11-30,1994-11-29,9999-01-01,Staff
12176,Christoper,Holburn,1964-12-18,1994-07-05,9999-01-01,Senior Engineer
12225,Yongqiao,Narahara,1964-07-10,1999-01-27,9999-01-01,Staff
12245,Christ,Baba,1964-10-31,1998-11-27,9999-01-01,Engineer
12285,Stepehn,Erman,1964-12-30,1991-02-21,9999-01-01,Senior Engineer
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Senior Engineer
12310,Chandrasekaran,Pettit,1964-08-04,1990-12-21,9999-01-01,Senior Engineer
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12432,Fumino,Delgrange,1964-08-28,1991-07-03,9999-01-01,Technique Leader
12461,Tesuro,Silva,1964-06-01,1998-08-15,9999-01-01,Senior Engineer
12467,Zhiwei,Bennis,1964-06-18,1999-01-07,9999-01-01,Technique Leader
12486,Joydip,Morrin,1964-09-08,1996-10-16,9999-01-01,Senior Engineer
12511,Frederique,Lueh,1964-11-01,1993-02-01,9999-01-01,Engineer
12535,Kazuhiko,Bergere,1964-11-04,1991-02-22,9999-01-01,Technique Leader
12544,Kankanahalli,Hartvigsen,1964-10-13,1995-04-09,9999-01-01,Senior Engineer
12548,Chenxi,Baak,1964-06-25,1990-06-28,9999-01-01,Senior Engineer
12549,Krister,Onuegbe,1964-12-19,1998-09-15,9999-01-01,Staff
12605,Petter,Feldmann,1964-10-26,1990-02-19,9999-01-01,Senior Staff
12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
12711,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,Senior Staff
12724,Parke,Lammel,1964-07-05,1999-02-17,9999-01-01,Staff
12757,Karlis,Cooke,1964-10-31,1995-06-24,9999-01-01,Senior Engineer
12884,Paddy,Zyda,1964-09-28,1988-11-09,9999-01-01,Engineer
12942,Maia,Dalphin,1964-11-09,1995-08-17,9999-01-01,Senior Engineer
12954,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,Staff
12990,Kristina,Benaini,1964-06-08,1985-07-12,9999-01-01,Senior Engineer
12996,Khalil,Madeira,1964-12-07,1992-08-26,9999-01-01,Staff
13036,Idoia,Heystek,1964-07-14,1998-04-23,9999-01-01,Staff
13063,Troy,Shokrollahi,1964-11-17,1994-01-02,9999-01-01,Staff
13094,Sanjay,Servieres,1964-12-19,1998-11-19,9999-01-01,Engineer
13114,Nikolaus,Bressoud,1964-06-28,1994-10-13,9999-01-01,Staff
13123,Hatem,Miake,1964-07-26,1997-12-19,9999-01-01,Engineer
13162,Shaw,Goodrum,1964-12-26,1989-05-19,9999-01-01,Senior Staff
13176,Pranas,Thiria,1964-11-28,1990-09-07,9999-01-01,Staff
13195,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,Senior Engineer
13219,Wojceich,Constantine,1964-11-10,1988-06-22,9999-01-01,Technique Leader
13242,Kazuhiko,Ecklund,1964-10-17,1994-12-06,9999-01-01,Senior Engineer
13244,Khosrow,Yoshizawa,1964-10-27,1996-09-02,9999-01-01,Staff
13251,Otilia,Lakshmanan,1964-06-28,1992-05-24,9999-01-01,Senior Engineer
13254,Chuanti,Thibadeau,1964-11-08,1998-01-20,9999-01-01,Senior Engineer
13274,Valery,Anguita,1964-06-11,1998-04-24,9999-01-01,Assistant Engineer
13328,Khedija,Vilarrasa,1964-10-25,1997-10-27,9999-01-01,Staff
13330,Sarita,Litvinov,1964-08-31,1993-08-19,9999-01-01,Senior Engineer
13360,Krassimir,Michaels,1964-09-30,1999-02-23,9999-01-01,Assistant Engineer
13370,Nidapan,Macedo,1964-08-22,1990-06-23,9999-01-01,Staff
13382,Makato,Domenig,1964-10-31,1994-12-25,9999-01-01,Engineer
13419,Bouchung,Leivant,1964-11-06,1996-05-25,9999-01-01,Staff
13484,Kristina,Setlzner,1964-09-05,1993-01-01,9999-01-01,Staff
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
13518,Girolamo,Gill,1964-08-10,1993-11-17,9999-01-01,Staff
13555,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,Staff
13558,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,Senior Staff
13599,Gor,Versino,1964-09-24,1992-11-12,9999-01-01,Staff
13656,Oldrich,Ferretti,1964-08-19,1995-07-17,9999-01-01,Senior Staff
13669,Hidde,Peng,1964-11-19,1998-11-05,9999-01-01,Assistant Engineer
13720,Rildo,Braccini,1964-07-13,1989-03-01,9999-01-01,Staff
13729,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,Senior Engineer
13765,Raimond,Mitzlaff,1964-07-27,1990-07-18,9999-01-01,Staff
13793,Mokhtar,Rosar,1964-09-26,1990-03-04,9999-01-01,Senior Engineer
13823,Ebru,Montemayor,1964-07-07,1993-07-06,9999-01-01,Technique Leader
13860,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,Senior Staff
13876,Fatemeh,Swan,1964-09-05,1995-05-03,9999-01-01,Senior Staff
13879,Valery,Ambroszkiewicz,1964-11-16,1989-10-05,9999-01-01,Senior Engineer
13908,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,Senior Engineer
13961,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,Senior Engineer
13968,Selwyn,Unni,1964-09-09,1993-09-07,9999-01-01,Technique Leader
14025,Stevo,Takanami,1964-08-03,2001-08-07,9999-01-01,Staff
14043,Manohar,Dulin,1964-06-25,1993-01-21,9999-01-01,Technique Leader
14062,Khalid,Luon,1964-12-16,2000-11-13,9999-01-01,Senior Engineer
14075,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Engineer
14095,Tonia,Underwood,1964-08-04,1988-12-03,9999-01-01,Staff
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Staff
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Senior Engineer
14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Staff
14177,Gino,Stille,1964-08-01,1996-03-16,9999-01-01,Staff
14185,Garnik,Swiler,1964-11-06,1988-08-01,9999-01-01,Senior Staff
14189,Nahla,Tsukuda,1964-08-07,1997-09-05,9999-01-01,Staff
14190,Leon,Tomescu,1964-07-23,1989-03-13,9999-01-01,Senior Engineer
14201,Chirstian,Carrere,1964-07-03,1995-07-01,9999-01-01,Senior Engineer
14231,Serenella,Madeira,1964-09-15,1999-03-12,9999-01-01,Engineer
14239,Martijn,Wallrath,1964-09-24,1989-10-16,9999-01-01,Staff
14278,Kazuhiro,Schapiro,1964-10-25,1991-11-29,9999-01-01,Staff
14286,Chenxi,Rodite,1964-10-20,1999-04-02,9999-01-01,Engineer
14334,Pradeep,Waleschkowski,1964-12-15,1988-07-06,9999-01-01,Senior Engineer
14352,Sudhanshu,Braccini,1964-07-03,1996-10-06,9999-01-01,Senior Engineer
14381,Danco,Weedon,1964-06-11,1998-06-21,9999-01-01,Staff
14396,Charmane,Gubsky,1964-12-17,1989-10-26,9999-01-01,Staff
14459,Aruna,Boreale,1964-09-21,1997-06-04,9999-01-01,Technique Leader
14468,Unal,Ertl,1964-12-03,1992-09-02,9999-01-01,Staff
14476,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Engineer
14477,Frederique,Coors,1964-07-21,1994-09-30,9999-01-01,Staff
14479,Thodoros,Suessmith,1964-08-22,1991-11-27,9999-01-01,Staff
14503,Bernd,Beerel,1964-06-04,1989-09-07,9999-01-01,Senior Engineer
14519,Xiong,Usery,1964-10-23,1996-09-14,9999-01-01,Staff
14523,Leif,Busillo,1964-06-13,1994-07-21,9999-01-01,Staff
14541,Suebskul,Terwilliger,1964-12-26,1996-04-25,9999-01-01,Senior Staff
14584,Oldrich,Undy,1964-06-11,1999-01-18,9999-01-01,Engineer
14618,Cedric,Brlek,1964-09-04,1989-12-26,9999-01-01,Staff
14672,Parto,Pietracaprina,1964-07-01,1995-05-21,9999-01-01,Staff
14702,Shrikanth,Keustermans,1964-12-18,1998-05-04,9999-01-01,Engineer
14783,Gennadi,Fasbender,1964-07-26,1987-08-26,9999-01-01,Senior Staff
14792,Aiichiro,Michaeli,1964-11-23,1996-04-13,9999-01-01,Technique Leader
14795,Dung,Merkl,1964-06-07,1995-11-25,9999-01-01,Technique Leader
14800,Mabry,Camurati,1964-08-29,1992-09-14,9999-01-01,Engineer
14813,Naftali,Alpin,1964-08-16,1985-10-21,9999-01-01,Staff
14847,Matk,Perng,1964-08-16,1995-09-07,9999-01-01,Senior Staff
14870,Weicheng,Stranks,1964-11-21,1992-12-26,9999-01-01,Senior Engineer
14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Staff
14931,Heeju,Luef,1964-11-15,1997-05-23,9999-01-01,Senior Engineer
14951,Temple,Goodrum,1964-12-30,1991-12-24,9999-01-01,Staff
15001,Brewster,Kawashimo,1964-06-19,1985-02-02,9999-01-01,Senior Engineer
15022,Krisda,Mitchem,1964-08-26,1996-09-27,9999-01-01,Senior Engineer
15050,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Senior Engineer
15053,Shigeu,Raczkowsky,1964-12-25,1996-11-28,9999-01-01,Staff
15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Staff
15106,Rutger,Gornas,1964-07-01,1996-11-01,9999-01-01,Engineer
15125,Heather,Brodal,1964-09-13,1995-11-20,9999-01-01,Senior Staff
15173,KayLiang,Naumovich,1964-11-16,1993-01-03,9999-01-01,Senior Engineer
15189,Pascal,Strandh,1964-11-09,1988-06-11,9999-01-01,Senior Engineer
15257,Ishfaq,Schauser,1964-07-03,1987-09-16,9999-01-01,Staff
15306,Gurbir,Katzenelson,1964-09-26,1999-03-08,9999-01-01,Staff
15309,Zijian,Kambil,1964-06-30,1999-10-04,9999-01-01,Staff
15315,Jayesh,Francisci,1964-09-09,1996-01-14,9999-01-01,Staff
15327,Jeanne,Vakili,1964-09-21,1990-07-10,9999-01-01,Technique Leader
15355,Hisao,Yurov,1964-09-16,1987-10-09,9999-01-01,Senior Engineer
15393,Fumitaka,Itzigehl,1964-08-08,1992-11-25,9999-01-01,Staff
15405,Richard,Munch,1964-11-19,1989-07-19,9999-01-01,Engineer
15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
15444,Shir,Schreiter,1964-08-01,1989-03-08,9999-01-01,Senior Engineer
15457,Boalin,Scallan,1964-07-06,1989-12-26,9999-01-01,Senior Staff
15485,Sadun,Comellas,1964-07-16,1988-11-07,9999-01-01,Senior Engineer
15486,Mariangiola,Zhang,1964-06-14,1989-02-20,9999-01-01,Senior Engineer
15495,Sven,Rotem,1964-06-04,1988-05-25,9999-01-01,Staff
15502,Susanne,Rahier,1964-11-10,1991-05-14,9999-01-01,Senior Engineer
15599,Filipe,Piancastelli,1964-11-23,1987-02-16,9999-01-01,Staff
15663,Bartek,Maccarone,1964-10-08,1990-04-18,9999-01-01,Senior Engineer
15704,Hisao,Lamba,1964-12-25,1996-07-29,9999-01-01,Engineer
15725,Shuichi,Petersohn,1964-07-04,1987-11-04,9999-01-01,Staff
15792,Stabislas,Suessmith,1964-09-27,1993-02-24,9999-01-01,Technique Leader
15797,Qingxiang,Rosis,1964-11-20,1991-04-24,9999-01-01,Senior Engineer
15798,Heejo,Rajcani,1964-07-23,1994-03-02,9999-01-01,Engineer
15852,Nathalie,Bonifati,1964-10-22,1988-06-01,9999-01-01,Senior Engineer
15897,Menkae,Perez,1964-11-08,1996-01-07,9999-01-01,Senior Engineer
15953,Make,Steinauer,1964-07-26,1990-11-04,9999-01-01,Senior Staff
15962,Mooi,Barvinok,1964-07-26,1996-03-11,9999-01-01,Staff
15980,Bernardo,Kakkad,1964-10-07,1992-10-21,9999-01-01,Staff
16021,Mary,Ananiadou,1964-06-04,1994-05-21,9999-01-01,Senior Engineer
16031,Elliott,Parveen,1964-11-03,1993-12-17,9999-01-01,Staff
16038,Sreenivas,Schrift,1964-10-16,1997-11-01,9999-01-01,Staff
16091,Yucai,Belinskaya,1964-09-28,1987-01-10,9999-01-01,Senior Engineer
16098,Stella,Fortenbacher,1964-12-11,1985-09-30,9999-01-01,Senior Engineer
16115,Haldun,Silva,1964-11-30,1985-11-14,9999-01-01,Staff
16125,Mori,Alpin,1964-08-19,1989-11-12,9999-01-01,Senior Engineer
16210,Paloma,Hardjono,1964-10-22,1991-01-18,9999-01-01,Staff
16275,Maja,Ruemmler,1964-06-08,1987-11-25,9999-01-01,Senior Engineer
16321,Parviz,Schlenzig,1964-07-16,1989-01-13,9999-01-01,Staff
16339,Luise,Gunderson,1964-09-28,1996-07-05,9999-01-01,Staff
16356,Sibyl,Woycyznski,1964-06-25,1988-12-05,9999-01-01,Staff
16385,Houman,Jonsson,1964-11-25,1998-05-25,9999-01-01,Engineer
16428,Arun,Chinin,1964-09-05,2000-06-02,9999-01-01,Senior Staff
16458,Lubomir,Ulupinar,1964-08-12,1994-12-17,9999-01-01,Staff
16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Staff
16501,Fayez,Veldwijk,1964-07-14,1997-04-13,9999-01-01,Staff
16513,Toney,Auria,1964-10-15,1987-03-03,9999-01-01,Senior Staff
16522,Jongsuk,Luks,1964-11-12,1997-04-26,9999-01-01,Staff
16528,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Engineer
16598,Sivanarayana,Hiltgen,1964-12-21,1990-05-13,9999-01-01,Senior Engineer
16610,Geoffry,Holburn,1964-06-11,1989-08-02,9999-01-01,Staff
16628,Sumali,Nollmann,1964-12-03,1997-09-23,9999-01-01,Engineer
16638,Masanao,Rouquie,1964-08-05,1992-03-05,9999-01-01,Staff
16697,Rasikan,Kavraki,1964-11-24,1990-04-29,9999-01-01,Engineer
16701,Yongqiao,Picht,1964-10-21,2000-01-17,9999-01-01,Staff
16865,Gou,Rosin,1964-06-12,1986-01-08,9999-01-01,Staff
16936,Vitaly,Baar,1964-10-01,1996-09-26,9999-01-01,Staff
16946,Owen,Quaggetto,1964-11-02,1997-03-03,9999-01-01,Senior Engineer
16963,Monique,Lalonde,1964-11-07,1988-07-06,9999-01-01,Senior Engineer
16968,Patricio,Stifter,1964-07-16,1991-01-23,9999-01-01,Senior Engineer
16989,Limsoon,Ruther,1964-11-06,2002-03-23,9999-01-01,Engineer
17009,Carrsten,Jansen,1964-07-22,1992-11-19,9999-01-01,Staff
17013,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Staff
17026,Sham,Hockney,1964-11-21,1986-05-29,9999-01-01,Staff
17050,Koldo,Oppitz,1964-10-25,2001-08-19,9999-01-01,Engineer
17083,Masoud,Gurbaxani,1964-12-17,1993-10-11,9999-01-01,Senior Engineer
17113,Ymte,Fujisawa,1964-07-21,1996-08-14,9999-01-01,Senior Engineer
17149,Leen,Griswold,1964-12-12,1996-09-03,9999-01-01,Staff
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Senior Engineer
17238,Achilleas,Schach,1964-08-12,1985-07-07,9999-01-01,Staff
17249,Zhiwei,Horswill,1964-08-29,1990-07-06,9999-01-01,Staff
17286,Arunachalam,Ermel,1964-08-08,1989-07-07,9999-01-01,Senior Engineer
17310,Florian,Stemann,1964-06-19,1996-09-26,9999-01-01,Senior Engineer
17360,Gunilla,Bridgland,1964-11-28,1996-12-05,9999-01-01,Engineer
17367,Tooru,Parfitt,1964-09-18,1992-01-23,9999-01-01,Senior Staff
17369,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01,Senior Engineer
17376,Moheb,Fadgyas,1964-10-13,1988-01-12,9999-01-01,Senior Engineer
17381,Maia,Shimshoni,1964-07-10,1998-03-27,9999-01-01,Engineer
17447,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Staff
17469,Chiradeep,Khamsi,1964-12-19,1991-10-18,9999-01-01,Staff
17530,Martina,Granlund,1964-10-11,1986-11-04,9999-01-01,Senior Engineer
17533,Xuejia,Perin,1964-11-25,2000-02-05,9999-01-01,Technique Leader
17537,Jaewoo,Rosay,1964-08-02,1988-02-26,9999-01-01,Senior Engineer
17560,Garnik,Giveon,1964-07-15,1997-01-23,9999-01-01,Staff
17569,Susanna,Vickson,1964-10-13,1994-12-26,9999-01-01,Staff
17572,Bingning,Alpay,1964-07-18,1988-10-04,9999-01-01,Senior Engineer
17578,Janche,Molenkamp,1964-09-04,1994-09-13,9999-01-01,Senior Engineer
17620,Heather,Simkin,1964-10-14,1996-02-24,9999-01-01,Engineer
17624,Isamu,Emiris,1964-08-03,1998-08-20,9999-01-01,Staff
17641,Jaber,Parhami,1964-12-13,1987-05-17,9999-01-01,Staff
17654,Syozo,Hanratty,1964-11-14,1997-11-12,9999-01-01,Technique Leader
17731,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01,Engineer
17766,Irene,Oxenboll,1964-11-23,1996-11-04,9999-01-01,Senior Engineer
17773,Joydip,Hebden,1964-12-13,1995-05-26,9999-01-01,Staff
17784,Ung,Kavvadias,1964-08-05,1998-08-09,9999-01-01,Engineer
17831,Boaz,Peha,1964-09-08,1996-06-24,9999-01-01,Senior Engineer
17850,Mabhin,Anily,1964-09-23,1997-05-26,9999-01-01,Engineer
17876,Perla,Schueller,1964-09-18,1994-08-14,9999-01-01,Staff
17905,Wuxu,Vilarrasa,1964-12-19,1985-02-11,9999-01-01,Senior Engineer
17924,Mikhail,Mitchem,1964-06-27,1995-05-10,9999-01-01,Senior Staff
17928,Petter,Siprelle,1964-12-08,1994-10-20,9999-01-01,Staff
17929,Nigel,Cusworth,1964-10-26,1991-01-11,9999-01-01,Staff
17965,Abdelwaheb,Thummel,1964-07-26,1999-01-17,9999-01-01,Senior Staff
17970,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Technique Leader
17988,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Senior Engineer
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Senior Engineer
18026,Vesna,Backhouse,1964-11-25,1993-04-18,9999-01-01,Staff
18052,Hongzue,Samarati,1964-10-09,1994-04-09,9999-01-01,Senior Engineer
18147,Mahmut,Bierbaum,1964-11-06,1985-08-07,9999-01-01,Staff
18168,Shugo,Stassinopoulos,1964-08-09,2001-08-26,9999-01-01,Technique Leader
18179,Owen,Heijenga,1964-11-26,1993-05-24,9999-01-01,Staff
18188,Jagoda,Joslin,1964-07-29,1999-04-05,9999-01-01,Senior Engineer
18197,Lihong,Luks,1964-11-30,1994-03-03,9999-01-01,Staff
18227,Shugo,Dulay,1964-12-06,1985-07-28,9999-01-01,Staff
18257,Conrado,Serra,1964-10-24,1993-02-19,9999-01-01,Staff
18292,Noritoshi,Auria,1964-07-04,1997-10-27,9999-01-01,Staff
18304,Moon,Kowalchuk,1964-12-30,2001-06-09,9999-01-01,Staff
18307,Barton,Stentiford,1964-08-24,1992-09-30,9999-01-01,Senior Engineer
18336,Arunachalam,Binding,1964-10-26,1994-01-04,9999-01-01,Engineer
18377,Paraskevi,Farris,1964-11-15,1997-09-19,9999-01-01,Staff
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
18479,Mechthild,Gulla,1964-09-17,1998-09-10,9999-01-01,Staff
18583,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Staff
18589,Weicheng,Thummel,1964-07-09,1995-06-10,9999-01-01,Engineer
18597,Jayesh,Nergos,1964-07-23,1989-05-30,9999-01-01,Staff
18617,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Staff
18624,Bader,Lindenbaum,1964-10-10,1998-04-29,9999-01-01,Engineer
18625,Tuval,Brodie,1964-11-05,1989-10-12,9999-01-01,Senior Engineer
18674,Cedric,Schaap,1964-09-22,1995-11-13,9999-01-01,Assistant Engineer
18736,Kish,Sichman,1964-12-08,1987-12-15,9999-01-01,Senior Engineer
18740,Serap,Zedlitz,1964-08-02,1994-10-24,9999-01-01,Staff
18746,Troy,Zlotek,1964-08-17,1994-12-09,9999-01-01,Senior Engineer
18758,Randy,Dratva,1964-12-05,1988-11-15,9999-01-01,Senior Engineer
18776,Alper,Desikan,1964-09-27,1995-01-28,9999-01-01,Senior Staff
